Age,Birth Place,Birthday,College,Current Status,Current Team,Experience,Height (inches),High School,High School Location,Name,Number,Player Id,Position,Weight (lbs),Years Played
,"Grand Rapids , MI",5/23/1921,Notre Dame,Retired,,3 Seasons,71,,,Fred Evans,,fredevans/2513736,,185,1946 - 1948
,"Dayton , OH",12/21/1930,Dayton,Retired,,1 Season,70,,,Jim Raiff,,jimraiff/2523700,,235,1954 - 1954
56,"Temple , TX",9/11/1960,Louisiana Tech,Retired,,1 Season,74,,,Bobby Fowler,,bobbyfowler/2514295,,230,1985 - 1985
30,"New Orleans , LA",9/30/1986,LSU,Retired,,5 Seasons,73,,,Quinn Johnson,,quinnjohnson/79593,,255,2009 - 2013
25,"Detroit , MI",3/31/1992,Central Michigan,Active,Pittsburgh Steelers,3rd season,77,Clintondale HS,"Clinton Twp.,Macomb Co., MI",L.T. Walton,96,l.t.walton/2552444,DE,305,
,"Sumner , IL",9/11/1892,Illinois,Retired,,1 Season,73,,,Ross Petty,,rosspetty/2523136,,180,1920 - 1920
,"Casper , WY",9/16/1920,Wisconsin,Retired,,3 Seasons,73,,,Tom Farris,,tomfarris/2513861,,185,1946 - 1948
22,"Navarre , FL",1/31/1995,Clemson,Active,New York Jets,Rookie,77,Navarre HS,FL,Jordan Leggett,,jordanleggett/2557885,TE,250,
,,,No College,Retired,,1 Season,,,,Pinky Thompson,,pinkythompson/2527303,,,1927 - 1927
98,"Alverton , PA",2/23/1919,Duquesne,Retired,,1 Season,70,,,George Gonda,,georgegonda/2515030,,175,1942 - 1942
,"Orlando , FL",3/8/1945,Tennessee Tech,Retired,,3 Seasons,76,,,John Tanner,,johntanner/2527011,,231,1971 - 1974
56,"Alton , IL",2/10/1961,Southern University,Retired,,1 Season,69,,,Floyd Raglin,,floydraglin/2523695,,180,1987 - 1987
33,,12/4/1983,Boise State,Retired,,1 Season,74,,,Jared Zabransky,,jaredzabransky/2495791,,219,2007 - 2007
27,"Little Rock , AR",11/22/1989,Arkansas,Retired,,3 Seasons,71,,,Joe Adams,,joeadams/2532782,,185,2012 - 2014
73,"St. Louis , MO",12/8/1943,Missouri,Retired,,8 Seasons,73,,,Gus Otto,,gusotto/2522592,,220,1965 - 1972
74,"Barberton , OH",9/1/1942,Florida A&M,Retired,,3 Seasons,73,,,Gene Thomas,,genethomas/2527241,,210,1966 - 1968
66,"Indianola , IA",12/1/1950,Arizona,Retired,,2 Seasons,74,,,Bill Demory,,billdemory/2512778,,195,1973 - 1974
25,,3/11/1992,Pittsburgh,Active,Washington Redskins,1st season,74,,,Manasseh Garner,,manassehgarner/2553801,TE,220,
53,"New Orleans , LA",6/14/1963,Louisiana-Lafayette,Retired,,9 Seasons,68,,,Clarence Verdin,,clarenceverdin/2503464,,160,1986 - 1994
50,"Scranton , PA",1/15/1967,Syracuse,Retired,,1 Season,74,,,Fred DeRiggi,,fredderiggi/2512828,,268,1990 - 1990
,"Birmingham , AL",10/18/1922,Yale,Retired,,2 Seasons,72,,,Bill Schuler,,billschuler/2525128,,215,1947 - 1948
27,"Reno , NV",2/15/1990,Nevada,Retired,,1 Season,79,,,Jeff Nady,,jeffnady/2541732,,305,2013 - 2013
55,"Fort Ord , CA",1/7/1962,California,Retired,,9 Seasons,75,,,Ron Rivera,,ronrivera/2502679,,235,1984 - 1992
39,"Waxahachie , TX",6/29/1977,Texas Tech,Retired,,10 Seasons,75,,,Montae Reagor,,montaereagor/2502600,,285,1999 - 2008
57,"Ann Arbor , MI",5/16/1960,Missouri,Retired,,1 Season,74,,,Randy Sealby,,randysealby/2525255,,230,1987 - 1987
