position,heightinchestotal,weight,fortyyd,twentyss,vertical,broad,bench,picktotal
OT,76.0000,302,4.9700,4.4400,32.0000,114,22,35
C,75.0000,310,5.1800,4.6600,29.0000,109,42,111
OT,78.0000,325,5.1900,4.6900,27.5000,100,23,64
OT,76.0000,313,5.4200,4.8900,24.0000,101,23,137
OG,76.0000,313,5.2500,4.8200,27.0000,99,26,143
OT,77.0000,323,5.2800,5.0000,23.5000,97,26,140
OG,77.0000,316,5.1600,5.1600,24.5000,98,25,193
OG,75.0000,323,5.3400,4.8300,21.5000,100,0,179
OT,79.0000,331,5.0400,4.7700,24.0000,95,0,237
OG,75.0000,336,5.5100,4.7800,29.0000,108,30,81
OT,78.0000,311,5.3400,4.5600,29.0000,103,22,19
OT,77.0000,297,5.1100,4.6400,29.0000,111,26,173
OT,79.0000,309,4.8700,4.4900,30.5000,117,29,11
OG,78.0000,311,5.3500,0.0000,26.5000,100,30,93
C,75.0000,296,0.0000,0.0000,27.0000,0,36,161
OG,77.0000,320,0.0000,0.0000,0.0000,0,0,78
C,75.0000,320,0.0000,0.0000,0.0000,0,23,70
OT,76.0000,308,0.0000,4.5900,28.0000,106,29,16
OT,78.0000,309,5.3700,4.6400,26.0000,101,28,59
OT,78.0000,314,5.3500,4.9500,21.5000,106,0,66
OG,77.0000,329,5.3600,4.8300,25.5000,91,25,153
C,75.0000,298,5.1000,4.6300,25.5000,106,25,43
OT,77.0000,332,4.9200,4.8600,28.5000,113,32,2
OT,78.0000,301,5.0100,4.5700,24.0000,93,0,95
OG,76.0000,307,5.0400,4.4400,25.0000,102,25,33
C,77.0000,312,5.2800,4.6500,26.0000,95,20,76
OT,75.0000,317,5.0900,4.8300,29.0000,98,35,100
OT,77.0000,315,5.1600,4.7100,28.0000,108,25,67
OG,75.0000,310,4.9300,0.0000,27.5000,0,25,92
OG,75.0000,313,5.3100,4.4700,29.0000,102,30,175
OG,78.0000,315,5.4800,4.8600,28.5000,103,22,145
OT,77.0000,308,5.4500,4.8400,23.5000,100,17,141
OT,77.0000,306,4.7100,4.7200,34.5000,112,31,75
OG,75.0000,302,5.0300,4.4400,26.5000,100,0,196
OT,76.0000,299,5.0900,4.7400,25.5000,101,28,109
OG,74.0000,311,5.0700,4.8400,27.0000,108,35,7
OT,79.0000,306,5.0500,4.4400,28.5000,116,27,1
OT,77.0000,339,5.3100,0.0000,0.0000,0,21,11
OT,80.0000,308,5.1400,4.6800,30.0000,113,33,240
OT,78.0000,306,5.3000,4.6800,28.5000,106,27,2
OT,78.0000,303,4.7200,4.5200,34.0000,118,28,4
OG,78.0000,313,4.9400,4.6300,28.0000,107,0,20
OT,77.0000,316,5.3700,4.8800,28.5000,101,20,163
OT,76.0000,307,5.1400,4.6300,28.5000,103,0,19
OT,77.0000,302,5.0800,4.4500,29.5000,112,25,176
OT,78.0000,308,5.1700,4.9100,31.5000,101,20,168
OG,75.0000,332,5.5800,5.1000,22.5000,96,28,65
OG,74.0000,317,5.4900,0.0000,0.0000,110,0,10
OG,75.0000,300,5.0600,5.0000,30.0000,107,24,116
OT,77.0000,310,5.2900,5.0100,24.5000,103,0,42
OG,76.0000,320,0.0000,0.0000,0.0000,0,9,72
OT,79.0000,323,5.4000,4.9500,28.0000,100,19,56
OT,76.0000,307,5.2800,4.9000,27.0000,102,26,44
OT,76.0000,335,5.3100,4.9900,27.0000,101,32,208
OG,78.0000,319,0.0000,0.0000,0.0000,0,23,178
OG,74.0000,303,5.4400,4.8000,28.0000,101,19,248
OT,77.0000,313,5.2700,4.8400,29.0000,101,32,95
OT,77.0000,314,5.1100,4.6000,30.0000,108,20,193
OT,78.0000,315,5.3200,4.5400,29.0000,100,0,241
OG,77.0000,316,5.4300,4.5600,29.0000,98,34,24
OG,74.0000,293,5.0000,4.6500,31.0000,112,0,141
OG,77.0000,345,5.1500,5.0000,23.0000,93,31,41
OT,78.0000,306,4.9900,4.6500,27.0000,0,30,4
OG,75.0000,307,5.5200,4.5800,25.0000,101,21,151
OG,75.0000,312,5.3700,4.6500,26.0000,96,29,71
OG,75.0000,309,0.0000,0.0000,0.0000,0,26,117
OT,77.0000,312,0.0000,0.0000,0.0000,0,0,42
OT,78.0000,316,5.2300,4.9500,27.0000,103,22,112
OT,78.0000,308,5.5200,0.0000,25.0000,97,17,201
OG,78.0000,333,5.3600,4.8700,26.0000,104,32,60
OT,78.0000,313,5.2300,4.7500,26.0000,98,23,23
OT,77.0000,320,5.4100,4.9900,27.0000,100,28,144
OT,77.0000,318,5.4500,4.8700,26.0000,89,23,37
OG,75.0000,311,5.4300,4.8700,31.0000,107,28,40
OT,77.0000,312,4.9400,4.7800,35.0000,114,19,74
OG,76.0000,324,5.5000,4.8000,23.0000,85,16,179
OG,75.0000,320,5.2500,4.8700,25.0000,101,28,200
OG,76.0000,338,5.3900,4.9000,27.0000,102,0,150
OG,76.0000,314,5.3900,4.6100,29.0000,101,32,27
OG,77.0000,300,5.3100,4.6300,29.0000,103,25,110
OG,77.0000,308,5.2800,4.6400,31.0000,102,28,101
OT,77.0000,358,5.2600,4.9700,30.5000,105,33,138
OT,79.0000,314,5.1800,0.0000,31.5000,109,29,29
OT,76.0000,321,5.2200,0.0000,0.0000,0,23,25
OT,79.0000,311,5.2100,4.4000,29.5000,105,28,22
OT,78.0000,316,5.1100,0.0000,28.5000,0,26,46
OT,78.0000,330,5.4100,0.0000,0.0000,0,30,63
OT,78.0000,326,5.3800,4.7000,29.0000,96,33,122
OG,77.0000,299,5.2700,4.6500,28.0000,98,25,210
OG,75.0000,308,5.2800,4.6800,32.5000,105,23,163
OT,77.0000,311,5.0000,5.0000,25.5000,100,24,214
OT,75.0000,317,5.3900,4.9100,26.5000,98,0,150
OG,77.0000,303,5.1200,4.6400,25.0000,96,0,15
OT,79.0000,327,5.3200,4.6500,29.5000,111,28,85
OT,77.0000,307,5.0800,0.0000,0.0000,0,29,9
OT,80.0000,319,4.9600,4.3400,32.0000,110,21,17
OG,74.0000,301,5.1200,4.5900,31.0000,104,23,161
OG,75.0000,310,5.3600,4.6200,26.0000,92,29,23
OT,78.0000,317,5.5000,4.6500,29.0000,95,20,244
OG,77.0000,310,5.2800,0.0000,0.0000,0,27,45
OT,78.0000,314,5.2000,4.7500,27.5000,98,26,23
OT,79.0000,323,5.4600,4.8600,23.5000,0,22,216
OT,79.0000,314,4.7500,4.6900,32.0000,101,34,106
OT,77.0000,308,5.1100,4.6800,30.5000,106,19,231
OT,77.0000,323,5.3600,4.9700,33.0000,0,21,11
OG,76.0000,325,5.1200,4.9000,32.5000,103,27,161
OT,77.0000,332,5.2100,4.9700,26.0000,91,29,61
OT,79.0000,305,5.4200,0.0000,0.0000,0,23,128
OG,77.0000,331,5.2400,4.9300,27.5000,92,27,17
OT,78.0000,328,5.1500,4.6900,27.5000,101,0,73
OG,73.0000,312,5.3700,5.0100,25.0000,0,0,98
OG,75.0000,315,5.2200,4.5100,26.5000,101,33,92
OG,76.0000,319,4.9900,4.6000,25.0000,97,25,169
OT,77.0000,307,5.1800,0.0000,0.0000,0,38,6
OG,75.0000,310,5.3400,0.0000,0.0000,0,45,147
OT,77.0000,316,5.2100,4.6700,29.5000,113,27,33
OG,75.0000,319,5.5200,5.0300,22.5000,0,19,151
OT,79.0000,307,5.4200,4.8000,29.0000,0,29,208
OT,77.0000,315,4.8100,4.6300,34.5000,113,23,4
OT,80.0000,316,5.2000,4.8700,29.5000,104,29,179
OG,77.0000,307,5.3000,0.0000,0.0000,0,29,254
OG,77.0000,327,5.4800,0.0000,0.0000,0,15,213
OG,79.0000,356,5.5000,0.0000,0.0000,0,21,167
OG,75.0000,305,5.3300,4.5200,30.5000,103,23,51
OT,77.0000,309,5.3400,4.6000,30.5000,103,21,23
OG,77.0000,306,5.2300,4.7000,24.5000,90,23,132
OG,76.0000,323,5.2900,0.0000,0.0000,0,20,236
OG,77.0000,328,5.3700,4.8900,24.0000,94,29,79
OG,77.0000,333,5.2200,0.0000,0.0000,0,39,78
OG,78.0000,309,5.1700,4.7800,26.0000,111,23,15
OT,76.0000,315,5.0700,4.5200,27.5000,105,24,26
OT,79.0000,314,5.1400,4.8200,23.0000,102,24,17
OT,81.0000,310,5.2800,0.0000,0.0000,0,21,230
OT,79.0000,303,5.2000,4.6300,22.5000,108,23,150
OG,76.0000,305,5.2700,4.6400,27.0000,110,31,184
OT,77.0000,305,5.2900,4.8200,26.0000,108,30,65
OT,78.0000,314,5.2700,4.7500,26.0000,100,25,133
OT,77.0000,343,5.2700,0.0000,26.0000,0,31,225
OT,79.0000,313,5.2200,4.7300,27.5000,102,37,1
OT,77.0000,341,5.2200,4.6800,25.5000,109,31,164
OT,78.0000,322,5.5500,0.0000,22.5000,102,27,19
OG,77.0000,315,5.1600,5.1400,25.5000,108,28,39
OT,79.0000,320,5.4500,5.1600,25.5000,100,24,170
OG,77.0000,320,5.4200,4.5600,28.5000,106,26,96
OG,76.0000,306,5.2900,0.0000,25.0000,0,26,157
OG,76.0000,303,5.0000,4.7800,24.5000,100,28,195
OT,76.0000,303,4.9900,4.5400,26.5000,107,35,83
OG,76.0000,305,5.0700,4.6500,30.0000,106,27,88
OT,76.0000,300,4.8400,4.6300,32.0000,105,28,119
OG,74.0000,313,5.3600,4.8100,25.5000,93,24,130
OT,79.0000,315,5.6200,4.9200,27.5000,97,21,214
OT,77.0000,298,5.0800,4.4700,32.0000,106,20,189
OT,80.0000,309,5.0800,4.5400,30.5000,100,0,67
OG,75.0000,325,5.3700,0.0000,0.0000,0,24,149
OG,76.0000,301,5.1300,4.7400,29.0000,102,23,230
OT,77.0000,322,5.3000,5.0500,24.5000,102,28,190
OT,78.0000,306,4.7800,0.0000,0.0000,0,27,28
OT,79.0000,311,4.9200,4.8800,33.0000,110,28,3
OT,77.0000,301,5.0600,0.0000,32.5000,117,32,42
OG,76.0000,355,5.4800,5.0800,24.5000,95,27,99
OT,77.0000,303,5.2300,0.0000,31.0000,101,25,227
OG,75.0000,306,5.0400,4.7900,24.5000,0,28,217
OT,77.0000,309,5.4400,5.1200,28.5000,102,21,139
OT,79.0000,325,5.3900,0.0000,28.5000,102,28,216
OT,79.0000,315,5.3200,4.8700,24.5000,101,0,141
OG,76.0000,314,5.3800,4.5600,26.5000,100,19,242
OT,80.0000,330,5.3800,4.8500,21.0000,94,19,210
OT,78.0000,337,5.1100,0.0000,0.0000,0,32,114
OT,77.0000,304,4.9600,4.6100,29.0000,102,26,129
OT,79.0000,334,5.1600,4.8400,30.5000,112,28,55
OT,79.0000,310,4.9400,4.4900,29.0000,108,0,66
OT,77.0000,310,5.1200,4.6000,32.5000,105,18,162
OT,79.0000,325,5.5100,4.6600,34.0000,100,26,211
OG,77.0000,319,5.0600,4.4800,29.5000,105,29,33
OT,78.0000,305,4.9200,4.5600,35.0000,106,26,52
OT,80.0000,318,5.2700,4.5700,35.5000,0,0,19
OT,78.0000,303,5.1800,4.6800,27.0000,96,30,207
OT,77.0000,322,5.6100,4.9300,29.0000,96,0,93
OG,75.0000,304,5.1200,4.5100,29.5000,100,0,129
OT,76.0000,322,5.3800,4.6200,25.0000,95,34,197
OG,79.0000,321,5.4500,4.7500,27.5000,104,21,49
OT,77.0000,319,5.2800,0.0000,31.5000,0,0,100
OG,76.0000,344,5.3400,4.5700,29.0000,98,26,204
OT,79.0000,337,5.5200,4.7700,33.0000,110,28,153
OG,76.0000,307,5.0600,4.4500,31.5000,95,21,32
OG,77.0000,304,4.9200,4.1600,35.5000,117,35,79
OG,78.0000,307,5.1500,4.5200,29.5000,99,22,254
OT,76.0000,310,5.3000,4.7200,29.5000,101,22,163
OT,79.0000,323,5.3100,4.9000,29.5000,94,17,238
OG,74.0000,343,5.4200,4.8100,24.5000,89,27,134
OT,80.0000,330,5.4000,4.7900,28.0000,96,0,64
OG,76.0000,312,5.0800,4.4000,35.0000,115,43,172
OT,76.0000,366,5.4900,4.9300,25.0000,98,27,16
OT,78.0000,342,5.0700,4.8100,30.5000,106,34,123
