position,heightinchestotal,weight,fortyyd,twentyss,vertical,broad,picktotal
QB,77.0000,232,4.9300,4.2100,32.5000,115,3
QB,74.0000,214,0.0000,4.2000,30.0000,113,32
QB,74.0000,214,4.6900,4.2000,34.5000,110,36
QB,74.0000,212,4.9900,4.5000,28.0000,103,183
QB,74.0000,226,4.9700,4.2600,30.5000,110,62
QB,72.0000,207,4.6800,4.0300,31.5000,113,22
QB,75.0000,220,4.9400,4.3400,28.0000,99,164
QB,76.0000,228,4.9700,4.3600,27.0000,105,135
QB,78.0000,248,4.6100,4.1800,35.5000,118,120
QB,75.0000,231,0.0000,0.0000,0.0000,0,234
QB,79.0000,225,4.9400,4.5200,26.5000,102,73
QB,76.0000,225,5.1100,4.3000,31.0000,115,115
QB,74.0000,227,5.0600,4.5300,28.5000,105,110
QB,74.0000,218,4.5900,0.0000,33.5000,124,39
QB,75.0000,214,4.9300,4.5000,28.5000,109,102
QB,77.0000,243,5.1400,0.0000,30.5000,112,88
QB,73.0000,219,4.7600,4.1500,32.5000,112,253
QB,76.0000,229,4.9000,4.4500,29.5000,108,185
QB,76.0000,234,4.6700,4.2800,36.0000,124,1
QB,79.0000,242,0.0000,0.0000,0.0000,0,57
QB,76.0000,221,0.0000,0.0000,0.0000,0,8
QB,76.0000,221,4.8900,4.4500,32.0000,102,22
QB,71.0000,204,4.5500,4.0900,34.0000,118,75
QB,74.0000,215,4.8300,4.2700,29.5000,106,35
QB,76.0000,240,5.1200,4.4600,25.5000,102,160
QB,76.0000,234,4.6100,4.2600,33.5000,120,10
QB,77.0000,233,4.5300,4.1800,32.5000,115,36
QB,79.0000,253,5.2400,0.0000,24.0000,0,74
QB,77.0000,248,4.5600,4.1800,35.0000,126,1
QB,74.0000,229,4.6300,4.0900,34.0000,116,12
QB,73.0000,217,4.4700,4.0900,37.5000,126,180
QB,75.0000,219,5.0600,4.1200,29.5000,104,152
QB,76.0000,236,4.7900,0.0000,0.0000,0,1
QB,76.0000,223,4.9300,4.3900,29.5000,100,239
QB,75.0000,230,4.6000,4.2200,29.5000,110,181
QB,73.0000,216,4.7900,0.0000,0.0000,114,85
QB,78.0000,223,4.9000,4.5300,28.5000,108,204
QB,75.0000,236,4.7100,4.1700,38.5000,115,25
QB,74.0000,226,4.9500,0.0000,26.5000,99,171
QB,75.0000,225,4.8700,4.4800,29.0000,102,201
QB,74.0000,227,4.9300,4.2100,32.5000,116,5
QB,74.0000,225,4.8100,4.4700,30.5000,107,1
QB,78.0000,225,4.9800,4.6000,21.5000,108,162
QB,79.0000,236,4.8400,4.2700,28.5000,110,18
QB,74.0000,231,4.7900,4.3400,28.0000,109,209
QB,75.0000,230,4.9200,4.4000,25.5000,106,57
QB,75.0000,213,4.5300,4.4200,33.5000,110,160
QB,77.0000,228,4.8900,4.5100,0.0000,0,3
QB,74.0000,215,4.7500,4.1700,29.5000,111,40
QB,76.0000,231,4.7600,4.4600,0.0000,0,92
QB,75.0000,218,4.8500,4.4400,32.5000,112,36
QB,78.0000,231,4.9800,4.5800,30.5000,104,205
QB,75.0000,232,4.7300,0.0000,0.0000,0,22
QB,75.0000,226,4.7500,4.4100,30.5000,108,43
QB,74.0000,224,4.8900,0.0000,0.0000,0,49
QB,75.0000,226,4.7700,4.3100,0.0000,0,11
QB,74.0000,226,4.6900,4.4000,31.5000,107,64
QB,76.0000,232,4.8400,4.3100,32.5000,108,164
QB,77.0000,223,4.9000,0.0000,0.0000,0,10
QB,74.0000,220,4.7100,4.2200,36.0000,111,148
QB,77.0000,229,4.4800,0.0000,0.0000,0,3
QB,78.0000,242,5.0300,4.6700,29.0000,103,213
QB,77.0000,230,4.7200,0.0000,0.0000,0,25
QB,75.0000,232,4.8600,4.0700,30.5000,105,250
QB,73.0000,208,4.5600,4.1300,31.0000,111,121
QB,77.0000,225,4.9300,4.4300,29.5000,107,145
QB,76.0000,233,5.0600,4.5400,26.5000,0,106
QB,74.0000,223,4.7100,4.3200,34.5000,110,24
