year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,games_played
2015,Jamison Crowder,Jamison,Crowder,WR,5,8.0000,68.0000,185,0.0000,0.0000,4.5600,0.0000,0.0000,4.3200,7.1700,37.0000,115,10,0,Duke,,0,0,0,5.4,32
2015,Brett Hundley,Brett,Hundley,QB,6,3.0000,75.0000,226,0.0000,0.0000,4.6300,0.0000,0.0000,3.9800,6.9300,36.0000,120,0,0,UCLA,,0,0,0,5.5,4
2015,Duke Johnson,Duke,Johnson,RB,5,9.0000,69.0000,207,0.0000,0.0000,4.5400,0.0000,0.0000,0.0000,0.0000,33.5000,121,0,0,Miami,,0,0,0,5.9,32
2015,Kevin Johnson,Kevin,Johnson,CB,6,0.0000,72.0000,188,0.0000,0.0000,4.5200,0.0000,0.0000,3.8900,6.7900,41.5000,130,0,0,Wake Forest,,0,0,0,5.9,101
2015,Sean Mannion,Sean,Mannion,QB,6,6.0000,78.0000,229,0.0000,0.0000,5.1400,0.0000,0.0000,4.3900,7.2900,31.0000,105,0,0,Oregon St.,,0,0,0,5.3,2
2015,Marcus Mariota,Marcus,Mariota,QB,6,4.0000,76.0000,222,0.0000,0.0000,4.5200,0.0000,0.0000,4.1100,6.8700,36.0000,121,0,0,Oregon,,0,0,0,6.4,27
2015,Bryce Petty,Bryce,Petty,QB,6,3.0000,75.0000,230,0.0000,0.0000,4.8700,0.0000,0.0000,4.1300,6.9100,34.0000,121,0,0,Baylor,,0,0,0,5.3,6
2015,Jameis Winston,Jameis,Winston,QB,6,4.0000,76.0000,231,0.0000,0.0000,4.9700,0.0000,0.0000,4.3600,7.1600,28.5000,103,0,0,Florida St.,,0,0,0,6.5,32
2014,Odell Beckham,Odell,Beckham,WR,5,11.0000,71.0000,198,0.0000,0.0000,4.4300,0.0000,0.0000,3.9400,6.6900,38.5000,122,7,1,LSU,0,12,12,0,5.9,43
2014,Blake Bortles,Blake,Bortles,QB,6,5.0000,77.0000,232,0.0000,0.0000,4.9300,0.0000,0.0000,4.2100,7.0800,32.5000,115,0,1,Central Florida,0,3,3,0,6.4,46
2014,Teddy Bridgewater,Teddy,Bridgewater,QB,6,2.0000,74.0000,214,0.0000,0.0000,0.0000,0.0000,0.0000,4.2000,7.1700,30.0000,113,0,1,Louisville,0,32,32,0,6.3,29
2014,Derek Carr,Derek,Carr,QB,6,2.0000,74.0000,214,0.0000,0.0000,4.6900,0.0000,0.0000,4.2000,0.0000,34.5000,110,0,2,Fresno St.,0,4,36,0,5.8,47
2014,David Fales,David,Fales,QB,6,2.0000,74.0000,212,0.0000,0.0000,4.9900,0.0000,0.0000,4.5000,7.5500,28.0000,103,0,6,San Jose St.,0,23,183,0,5.2,1
2014,Jimmy Garoppolo,Jimmy,Garoppolo,QB,6,2.0000,74.0000,226,0.0000,0.0000,4.9700,0.0000,0.0000,4.2600,7.0400,30.5000,110,0,2,Eastern Illinois,0,30,62,0,5.4,17
2014,Josh Huff,Josh,Huff,WR,5,11.0000,71.0000,206,0.0000,0.0000,4.5100,0.0000,0.0000,0.0000,0.0000,35.5000,116,14,3,Oregon,0,22,86,0,5.3,37
2014,Anthony Johnson,Anthony,Johnson,DT,6,2.0000,74.0000,308,0.0000,0.0000,5.2400,0.0000,0.0000,0.0000,7.9300,24.5000,102,20,0,LSU,0,0,0,0,5.6,159
2014,Jarvis Landry,Jarvis,Landry,WR,5,11.0000,71.0000,205,0.0000,0.0000,4.7700,0.0000,0.0000,0.0000,0.0000,28.5000,110,12,2,LSU,0,31,63,0,5.6,48
2014,Marqise Lee,Marqise,Lee,WR,6,0.0000,72.0000,192,0.0000,0.0000,4.5200,0.0000,0.0000,4.0100,0.0000,38.0000,127,0,2,USC,0,7,39,0,6.2,39
2014,Johnny Manziel,Johnny,Manziel,QB,6,0.0000,72.0000,207,0.0000,0.0000,4.6800,0.0000,0.0000,4.0300,6.7500,31.5000,113,0,1,Texas A&M,0,22,22,0,5.9,14
2014,AJ McCarron,AJ,McCarron,QB,6,3.0000,75.0000,220,0.0000,0.0000,4.9400,0.0000,0.0000,4.3400,7.1800,28.0000,99,0,6,Alabama,0,4,164,0,5.6,8
2014,Jerick McKinnon,Jerick,McKinnon,RB,5,9.0000,69.0000,209,0.0000,0.0000,4.4100,0.0000,0.0000,4.1200,6.8300,40.5000,132,32,3,Georgia Southern,0,32,96,0,5.2,42
2014,Cairo Santos,Cairo,Santos,K,5,8.0000,68.0000,164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Tulane,0,0,0,0,5.1,48
2014,Tom Savage,Tom,Savage,QB,6,4.0000,76.0000,228,0.0000,0.0000,4.9700,0.0000,0.0000,4.3600,7.3300,27.0000,105,0,5,Pittsburgh,0,7,135,0,5.2,5
2014,Connor Shaw,Connor,Shaw,QB,6,0.0000,72.0000,206,0.0000,0.0000,4.6600,0.0000,0.0000,4.3300,7.0700,34.0000,116,0,0,South Carolina,0,0,0,0,5.0,1
2014,Willie Snead,Willie,Snead,WR,5,11.0000,71.0000,195,0.0000,0.0000,4.6200,0.0000,0.0000,4.3900,7.1900,33.5000,113,11,0,Ball St.,0,0,0,0,5.2,30
2014,Logan Thomas,Logan,Thomas,QB,6,6.0000,78.0000,248,0.0000,0.0000,4.6100,0.0000,0.0000,4.1800,7.0500,35.5000,118,0,4,Virginia Tech,0,24,120,0,5.4,2
2013,Tavon Austin,Tavon,Austin,WR,5,8.0000,68.0000,174,30.0000,9.1250,4.3400,0.0000,1.4500,4.0100,0.0000,32.0000,120,14,1,West Virginia,8(8),8,8,0,0.0,59
2013,Mike Glennon,Mike,Glennon,QB,6,7.0000,79.0000,225,33.1250,9.6250,4.9400,0.0000,1.8000,4.5200,7.4900,26.5000,102,0,3,North Carolina State,11(73),11,73,0,0.0,21
2013,Mike James,Mike,James,RB,5,10.0000,70.0000,223,31.6250,9.7500,4.5300,0.0000,1.5800,4.6200,0.0000,35.0000,115,28,6,Miami (FL),21(189),21,189,0,0.0,23
2013,Landry Jones,Landry,Jones,QB,6,4.0000,76.0000,225,33.0000,9.1250,5.1100,0.0000,1.6900,4.3000,7.1200,31.0000,115,0,4,Oklahoma,18(115),18,115,0,0.0,15
