position,heightinchestotal,weight,fortyyd,twentyss,vertical,broad,threecone,picktotal
WR,73.0000,195,4.5000,4.0800,30.5000,117,6.8000,176
WR,73.0000,212,4.5600,4.3000,39.5000,123,6.8200,53
WR,71.0000,198,4.4300,3.9400,38.5000,122,6.6900,12
WR,77.0000,240,4.6100,4.3900,32.5000,119,7.3300,28
WR,70.0000,179,4.3400,4.1200,36.5000,119,6.9100,91
WR,76.0000,211,4.4200,4.1500,39.0000,124,7.1800,118
WR,70.0000,189,4.3300,3.8100,36.0000,120,6.7600,20
WR,69.0000,197,4.4500,3.9500,39.5000,120,6.6900,106
WR,74.0000,225,4.4500,0.0000,0.0000,0,0.0000,209
WR,77.0000,231,4.5300,4.2600,37.0000,0,7.0800,7
WR,67.0000,185,4.4900,0.0000,0.0000,0,0.0000,244
WR,72.0000,199,4.6400,4.1100,35.5000,119,6.6800,142
WR,73.0000,198,4.5000,4.2000,36.5000,118,7.0800,190
WR,71.0000,206,4.5100,0.0000,35.5000,116,0.0000,86
WR,75.0000,219,4.4200,3.9800,37.5000,123,6.6400,236
WR,71.0000,205,4.7700,0.0000,28.5000,110,0.0000,63
WR,74.0000,215,0.0000,0.0000,0.0000,0,0.0000,56
WR,72.0000,192,4.5200,4.0100,38.0000,127,0.0000,39
WR,75.0000,212,4.4600,4.1800,35.5000,120,6.9500,42
WR,74.0000,221,4.4000,4.3000,39.5000,132,7.0200,90
WR,74.0000,198,4.4800,4.3200,33.0000,121,6.6800,123
WR,71.0000,189,4.6300,4.2300,31.5000,120,6.7000,196
WR,70.0000,163,4.4600,4.1800,41.0000,132,6.6300,240
WR,72.0000,175,4.4000,0.0000,38.0000,124,7.0900,45
WR,74.0000,220,4.6000,4.0000,39.0000,127,7.0000,61
WR,69.0000,165,4.4400,0.0000,34.0000,122,0.0000,104
WR,75.0000,198,4.5500,4.0100,37.0000,124,6.8900,146
WR,73.0000,211,4.4300,4.3400,34.0000,126,6.9500,4
WR,74.5000,206,4.7100,0.0000,0.0000,0,0.0000,76
WR,68.0000,174,4.3400,4.0100,32.0000,120,0.0000,8
WR,71.0000,206,4.3800,4.1000,34.0000,131,6.6800,102
WR,74.0000,204,4.4300,0.0000,31.5000,120,0.0000,171
WR,69.0000,183,4.2700,0.0000,0.0000,132,0.0000,78
WR,74.0000,212,4.5600,4.3100,29.5000,107,0.0000,197
WR,73.0000,229,4.5500,4.3900,35.5000,116,6.8900,123
WR,76.0000,196,4.4400,4.3300,39.5000,136,0.0000,34
WR,74.0000,215,4.3900,4.3100,39.5000,133,7.0400,216
WR,72.0000,189,4.4700,4.3300,36.5000,123,6.9100,161
WR,74.0000,216,4.4200,0.0000,37.0000,128,0.0000,29
WR,72.0000,204,4.5300,4.0100,33.0000,118,6.9100,128
WR,70.0000,199,4.4300,4.2200,36.5000,123,7.0900,135
WR,67.0000,173,4.5800,4.3700,32.0000,117,6.8100,101
WR,72.0000,194,4.3800,4.3500,33.5000,124,0.0000,144
WR,71.0000,189,4.4500,4.0200,37.0000,120,6.8000,79
WR,74.0000,208,4.5200,4.3200,32.5000,119,7.0100,74
WR,75.0000,194,4.5100,4.3300,34.5000,122,6.6500,236
WR,72.0000,201,4.5100,4.4700,33.5000,117,7.1500,41
WR,71.0000,179,4.5700,0.0000,36.0000,123,7.0900,104
WR,69.0000,172,4.3600,0.0000,38.0000,119,0.0000,100
WR,73.0000,207,4.4600,0.0000,35.0000,123,0.0000,5
WR,75.0000,219,4.5500,4.0900,36.0000,125,6.9000,134
WR,75.0000,220,4.4700,4.3700,36.0000,122,7.1100,13
WR,71.0000,198,4.4100,4.2300,33.0000,118,6.9700,96
WR,70.0000,183,4.3400,4.3600,35.5000,119,7.0300,92
WR,74.8750,216,4.4800,4.1700,36.5000,122,6.7100,45
WR,72.0000,190,4.3900,4.1200,38.0000,124,6.7300,30
WR,74.0000,199,4.4600,4.1100,33.0000,112,6.8100,166
WR,71.0000,188,4.4500,4.1300,39.0000,122,6.8500,121
WR,72.0000,217,4.6200,4.1900,36.0000,0,6.8800,227
WR,76.0000,220,4.5500,4.2300,34.0000,119,7.1000,33
WR,75.0000,210,4.5500,4.3600,31.0000,121,6.9900,63
WR,74.0000,211,4.6700,4.2200,36.0000,126,6.8800,83
WR,74.0000,215,4.5400,0.0000,37.0000,132,0.0000,122
WR,70.0000,182,4.4200,4.0300,38.0000,120,6.9300,118
WR,70.2500,196,4.6100,4.1800,38.5000,121,6.9300,20
WR,70.0000,191,4.4600,4.3400,33.5000,115,7.0800,64
WR,76.0000,211,4.4800,4.2100,34.5000,126,6.9100,4
WR,70.0000,203,4.5300,4.2100,34.0000,111,6.7700,176
WR,69.0000,185,4.4600,4.2500,37.5000,117,7.0700,83
WR,71.0000,199,4.4600,0.0000,0.0000,0,0.0000,182
WR,75.0000,220,4.3400,4.2500,38.5000,135,6.6600,6
WR,70.0000,189,4.5600,3.9900,34.5000,120,6.7000,153
WR,73.0000,224,4.4500,4.1400,34.5000,117,6.9000,155
WR,75.0000,209,4.5600,3.8800,33.5000,120,6.6800,78
WR,70.0000,199,4.5600,0.0000,0.0000,0,0.0000,132
WR,70.0000,184,4.3500,4.0900,40.0000,126,6.6500,178
WR,74.0000,204,4.6900,0.0000,0.0000,0,0.0000,249
WR,73.0000,205,4.5000,4.0700,34.5000,114,6.5000,114
