year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,games_played
2015,Ameer Abdullah,Ameer,Abdullah,RB,5,9.0000,69.0000,205,0.0000,0.0000,4.6000,0.0000,0.0000,3.9500,6.7900,42.5000,130,24,0,Nebraska,,0,0,0,5.9,2
2015,Ameer Abdullah,Ameer,Abdullah,RB,5,9.0000,69.0000,205,0.0000,0.0000,4.6000,0.0000,0.0000,3.9500,6.7900,42.5000,130,24,0,Nebraska,,0,0,0,5.9,16
2015,Nelson Agholor,Nelson,Agholor,WR,6,0.0000,72.0000,198,0.0000,0.0000,4.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0,12,0,USC,,0,0,0,5.6,15
2015,Nelson Agholor,Nelson,Agholor,WR,6,0.0000,72.0000,198,0.0000,0.0000,4.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0,12,0,USC,,0,0,0,5.6,13
2015,Jay Ajayi,Jay,Ajayi,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5700,0.0000,0.0000,4.1000,7.1000,39.0000,121,19,0,Boise St.,,0,0,0,6.0,15
2015,Jay Ajayi,Jay,Ajayi,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5700,0.0000,0.0000,4.1000,7.1000,39.0000,121,19,0,Boise St.,,0,0,0,6.0,9
2015,Mario Alford,Mario,Alford,WR,5,8.0000,68.0000,180,0.0000,0.0000,4.4300,0.0000,0.0000,4.0700,6.6400,34.0000,121,13,0,West Virginia,,0,0,0,5.3,3
2015,Mario Alford,Mario,Alford,WR,5,8.0000,68.0000,180,0.0000,0.0000,4.4300,0.0000,0.0000,4.0700,6.6400,34.0000,121,13,0,West Virginia,,0,0,0,5.3,1
2015,Javorius Allen,Javorius,Allen,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5300,0.0000,0.0000,4.2800,6.9600,35.5000,121,11,0,USC,,0,0,0,5.3,8
2015,Javorius Allen,Javorius,Allen,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.5300,0.0000,0.0000,4.2800,6.9600,35.5000,121,11,0,USC,,0,0,0,5.3,16
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,5,10.0000,70.0000,212,0.0000,0.0000,4.5300,0.0000,0.0000,0.0000,7.1300,36.5000,118,0,0,Auburn,,0,0,0,5.4,3
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,5,10.0000,70.0000,212,0.0000,0.0000,4.5300,0.0000,0.0000,0.0000,7.1300,36.5000,118,0,0,Auburn,,0,0,0,5.4,7
2015,Blake Bell,Blake,Bell,TE,6,6.0000,78.0000,252,0.0000,0.0000,4.8000,0.0000,0.0000,4.3200,0.0000,33.0000,116,14,0,Oklahoma,,0,0,0,5.2,13
2015,Blake Bell,Blake,Bell,TE,6,6.0000,78.0000,252,0.0000,0.0000,4.8000,0.0000,0.0000,4.3200,0.0000,33.0000,116,14,0,Oklahoma,,0,0,0,5.2,14
2015,Nick Boyle,Nick,Boyle,TE,6,4.0000,76.0000,268,0.0000,0.0000,5.0400,0.0000,0.0000,4.2300,0.0000,30.5000,112,20,0,Delaware,,0,0,0,5.2,6
2015,Nick Boyle,Nick,Boyle,TE,6,4.0000,76.0000,268,0.0000,0.0000,5.0400,0.0000,0.0000,4.2300,0.0000,30.5000,112,20,0,Delaware,,0,0,0,5.2,11
2015,Malcolm Brown,Malcolm,Brown,RB,5,11.0000,71.0000,224,0.0000,0.0000,4.6200,0.0000,0.0000,4.1500,6.8600,34.5000,117,19,0,Texas,,0,0,0,5.2,16
2015,Malcolm Brown,Malcolm,Brown,RB,5,11.0000,71.0000,224,0.0000,0.0000,4.6200,0.0000,0.0000,4.1500,6.8600,34.5000,117,19,0,Texas,,0,0,0,5.2,1
2015,Michael Burton,Michael,Burton,FB,5,11.0000,71.0000,242,0.0000,0.0000,4.7400,0.0000,0.0000,4.3400,7.2000,33.0000,115,25,0,Rutgers,,0,0,0,4.8,15
2015,Michael Burton,Michael,Burton,FB,5,11.0000,71.0000,242,0.0000,0.0000,4.7400,0.0000,0.0000,4.3400,7.2000,33.0000,115,25,0,Rutgers,,0,0,0,4.8,16
2015,Sammie Coates,Sammie,Coates,WR,6,1.0000,73.0000,212,0.0000,0.0000,4.4300,0.0000,0.0000,4.0600,6.9800,41.0000,131,23,0,Auburn,,0,0,0,5.6,14
2015,Sammie Coates,Sammie,Coates,WR,6,1.0000,73.0000,212,0.0000,0.0000,4.4300,0.0000,0.0000,4.0600,6.9800,41.0000,131,23,0,Auburn,,0,0,0,5.6,6
2015,Tevin Coleman,Tevin,Coleman,RB,5,11.0000,71.0000,206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,Indiana,,0,0,0,6.1,13
2015,Tevin Coleman,Tevin,Coleman,RB,5,11.0000,71.0000,206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,22,0,Indiana,,0,0,0,6.1,12
2015,Chris Conley,Chris,Conley,WR,6,2.0000,74.0000,213,0.0000,0.0000,4.3500,0.0000,0.0000,4.3000,7.0600,45.0000,139,18,0,Georgia,,0,0,0,5.5,16
2015,Chris Conley,Chris,Conley,WR,6,2.0000,74.0000,213,0.0000,0.0000,4.3500,0.0000,0.0000,4.3000,7.0600,45.0000,139,18,0,Georgia,,0,0,0,5.5,16
2015,Amari Cooper,Amari,Cooper,WR,6,1.0000,73.0000,211,0.0000,0.0000,4.4200,0.0000,0.0000,3.9800,6.7100,33.0000,120,0,0,Alabama,,0,0,0,7.0,16
2015,Amari Cooper,Amari,Cooper,WR,6,1.0000,73.0000,211,0.0000,0.0000,4.4200,0.0000,0.0000,3.9800,6.7100,33.0000,120,0,0,Alabama,,0,0,0,7.0,16
2015,Jamison Crowder,Jamison,Crowder,WR,5,8.0000,68.0000,185,0.0000,0.0000,4.5600,0.0000,0.0000,4.3200,7.1700,37.0000,115,10,0,Duke,,0,0,0,5.4,16
2015,Jamison Crowder,Jamison,Crowder,WR,5,8.0000,68.0000,185,0.0000,0.0000,4.5600,0.0000,0.0000,4.3200,7.1700,37.0000,115,10,0,Duke,,0,0,0,5.4,16
2015,Geremy Davis,Geremy,Davis,WR,6,2.0000,74.0000,216,0.0000,0.0000,0.0000,0.0000,0.0000,4.1800,6.8600,36.5000,124,23,0,Connecticut,,0,0,0,4.8,3
2015,Geremy Davis,Geremy,Davis,WR,6,2.0000,74.0000,216,0.0000,0.0000,0.0000,0.0000,0.0000,4.1800,6.8600,36.5000,124,23,0,Connecticut,,0,0,0,4.8,10
2015,Mike Davis,Mike,Davis,RB,5,9.0000,69.0000,217,0.0000,0.0000,4.6100,0.0000,0.0000,4.1800,7.0000,34.0000,116,17,0,South Carolina,,0,0,0,5.4,8
2015,Mike Davis,Mike,Davis,RB,5,9.0000,69.0000,217,0.0000,0.0000,4.6100,0.0000,0.0000,4.1800,7.0000,34.0000,116,17,0,South Carolina,,0,0,0,5.4,6
2015,A.J. Derby,A.J.,Derby,TE,6,4.0000,76.0000,255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,15,0,Arkansas,,0,0,0,5.3,6
2015,A.J. Derby,A.J.,Derby,TE,6,4.0000,76.0000,255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,15,0,Arkansas,,0,0,0,5.3,4
2015,Stefon Diggs,Stefon,Diggs,WR,6,0.0000,72.0000,195,0.0000,0.0000,4.4600,0.0000,0.0000,4.3200,7.0300,35.0000,115,0,0,Maryland,,0,0,0,5.6,13
2015,Stefon Diggs,Stefon,Diggs,WR,6,0.0000,72.0000,195,0.0000,0.0000,4.4600,0.0000,0.0000,4.3200,7.0300,35.0000,115,0,0,Maryland,,0,0,0,5.6,13
